topic,question,answer
Lý thuyết đồ thị,đồ thị là gì?,Đồ thị Là một cấu trúc toán học gồm tập hợp các đỉnh và tập hợp các cạnh nối các cặp đỉnh đó.
Bài toán tổ hợp,hoán vị là gì?,Hoán vị Là một cách sắp xếp có thứ tự của n phần tử khác nhau.
Bài toán tổ hợp,chỉnh hợp là gì?,Chỉnh hợp Là một cách chọn ra k phần tử từ n phần tử và có sắp xếp theo thứ tự nhất định.
Bài toán tổ hợp,tổ hợp là gì?,Tổ hợp Là một cách chọn ra k phần tử từ n phần tử mà không tính đến thứ tự sắp xếp của chúng.
Bài toán tổ hợp,quy tắc cộng là gì?,"Nếu một công việc có thể được thực hiện theo nhiều phương án độc lập, số cách thực hiện là tổng số cách của các phương án đó."
Bài toán tổ hợp,quy tắc nhân là gì?,"Nếu một công việc gồm nhiều giai đoạn thực hiện liên tiếp, số cách thực hiện là tích số cách của từng giai đoạn."
Ánh xạ,ánh xạ là gì?,Ánh xạ Là một quy tắc gán mỗi phần tử của tập hợp A với duy nhất một phần tử của tập hợp B.
Ánh xạ,đơn ánh là gì?,Đơn ánh Là ánh xạ mà hai phần tử khác nhau của tập nguồn luôn có hai ảnh khác nhau trong tập đích.
Ánh xạ,toàn ánh là gì?,Toàn ánh Là ánh xạ mà mọi phần tử của tập đích đều là ảnh của ít nhất một phần tử của tập nguồn.
Ánh xạ,song ánh là gì?,"Song ánh Là ánh xạ vừa là đơn ánh, vừa là toàn ánh."
Ánh xạ,Mối liên hệ giữa song ánh và hoán vị?,Mỗi hoán vị của một tập hữu hạn chính là một song ánh từ tập đó vào chính nó.
Ánh xạ,Mối liên hệ giữa ánh xạ và đồ thị hàm số?,"Đồ thị là tập hợp các cặp $(x, f(x))$ trong tích Descartes $A \times B$."
Ánh xạ,Số lượng song ánh từ tập A đến chính nó là bao nhiêu?,Bằng $n!$ (số hoán vị của n phần tử).
Ánh xạ,Số lượng ánh xạ từ tập A đến tập B là bao nhiêu?,Bằng $m^n$.
Ánh xạ,Số lượng đơn ánh từ tập A đến tập B với n le m là bao nhiêu?,"Bằng $P(m, n) = \frac{m!}{(m-n)!}$."
Ánh xạ,mở rộng của một ánh xạ là gì?,Mở rộng của một ánh xạ Là ánh xạ mới có tập nguồn chứa tập nguồn ban đầu và trùng với ánh xạ cũ trên tập nguồn cũ.
Ánh xạ,nhúng trong lý thuyết ánh xạ là gì?,Nhúng trong lý thuyết ánh xạ Là một đơn ánh bảo toàn một số cấu trúc toán học nhất định giữa hai tập hợp.
Ánh xạ,thu hẹp của một ánh xạ là gì?,Thu hẹp của một ánh xạ Là ánh xạ mới thu được bằng cách giới hạn tập nguồn vào một tập con nhỏ hơn.
Ánh xạ,tập nguồn của một ánh xạ là gì?,Tập nguồn của một ánh xạ Là tập hợp A chứa tất cả các phần tử đầu vào của ánh xạ f: A -> B.
Ánh xạ,tập đích của một ánh xạ là gì?,Tập đích của một ánh xạ Là tập hợp B chứa các phần tử mà ánh xạ f có thể gán giá trị tới.
Ánh xạ,tập ảnh của một ánh xạ là gì?,"Tập ảnh của một ánh xạ Là tập hợp tất cả các giá trị $f(x)$ trong B với mọi $x \in A$, ký hiệu là $Im(f)$ hoặc $f(A)$."
